original_probability,new_probability,confidence_diff,original_class,class_change,no_features,nsamples,explainer,time,important_columns,i1,i2,i3,i4,i5,i6,i7,i8,i9,i10
0.75318754,0.70902973,0.044157803,1,False,4,100,shap,0.19068408012390137,75,70,69,72,74,37,51,5,52,30,48
0.75318754,0.70561534,0.047572196,1,False,5,100,shap,0.20922398567199707,75,70,69,72,74,37,51,5,52,30,48
0.75318754,0.7045932,0.048594356,1,False,6,100,shap,0.21043801307678223,75,70,69,72,74,37,51,5,52,30,48
0.75318754,0.70245916,0.05072838,1,False,7,100,shap,0.1912086009979248,75,70,69,72,74,37,51,5,52,30,48
0.75318754,0.70129484,0.051892698,1,False,8,100,shap,0.19903135299682617,75,70,69,72,74,37,51,5,52,30,48
0.75318754,0.70066714,0.052520394,1,False,9,100,shap,0.1914811134338379,75,70,69,72,74,37,51,5,52,30,48
0.75318754,0.6992334,0.053954124,1,False,10,100,shap,0.20046353340148926,75,70,69,72,74,37,51,5,52,30,48
0.9999999,0.9999999,0.0,1,False,0,100,shap,2.9486517906188965,75,69,73,72,70,76,74,17,1,10,9
0.9999999,0.9999994,4.7683716e-07,1,False,1,100,shap,0.23708033561706543,75,69,73,72,70,76,74,17,1,10,9
0.9999999,0.99999833,1.5497208e-06,1,False,2,100,shap,0.1932370662689209,75,69,73,72,70,76,74,17,1,10,9
0.9999999,0.9997669,0.00023299456,1,False,3,100,shap,0.1904144287109375,75,69,73,72,70,76,74,17,1,10,9
0.9999999,0.9835971,0.016402781,1,False,4,100,shap,0.17920541763305664,75,69,73,72,70,76,74,17,1,10,9
0.9999999,0.9344604,0.06553948,1,False,5,100,shap,0.1782398223876953,75,69,73,72,70,76,74,17,1,10,9
0.9999999,0.928193,0.07180691,1,False,6,100,shap,0.17628049850463867,75,69,73,72,70,76,74,17,1,10,9
0.9999999,0.90460134,0.095398545,1,False,7,100,shap,0.17676043510437012,75,69,73,72,70,76,74,17,1,10,9
0.9999999,0.95527065,0.044729233,1,False,8,100,shap,0.16911530494689941,75,69,73,72,70,76,74,17,1,10,9
0.9999999,0.9558514,0.044148505,1,False,9,100,shap,0.28799891471862793,75,69,73,72,70,76,74,17,1,10,9
0.9999999,0.9328982,0.06710166,1,False,10,100,shap,0.2882673740386963,75,69,73,72,70,76,74,17,1,10,9
0.849395,0.849395,0.0,1,False,0,100,shap,3.2956042289733887,75,69,70,20,74,72,1,76,6,27,67
0.849395,0.8465401,0.0028548837,1,False,1,100,shap,0.22441864013671875,75,69,70,20,74,72,1,76,6,27,67
0.849395,0.8306807,0.01871425,1,False,2,100,shap,0.2101302146911621,75,69,70,20,74,72,1,76,6,27,67
0.849395,0.8106826,0.038712382,1,False,3,100,shap,0.21339964866638184,75,69,70,20,74,72,1,76,6,27,67
0.849395,0.77261627,0.07677871,1,False,4,100,shap,0.19695329666137695,75,69,70,20,74,72,1,76,6,27,67
0.849395,0.74816084,0.10123414,1,False,5,100,shap,0.1917405128479004,75,69,70,20,74,72,1,76,6,27,67
0.849395,0.74147844,0.107916534,1,False,6,100,shap,0.17287564277648926,75,69,70,20,74,72,1,76,6,27,67
0.849395,0.72218615,0.12720883,1,False,7,100,shap,0.366135835647583,75,69,70,20,74,72,1,76,6,27,67
0.849395,0.70788604,0.14150894,1,False,8,100,shap,0.2403550148010254,75,69,70,20,74,72,1,76,6,27,67
0.849395,0.67257506,0.17681992,1,False,9,100,shap,0.20654869079589844,75,69,70,20,74,72,1,76,6,27,67
0.849395,0.67344254,0.17595243,1,False,10,100,shap,0.19486618041992188,75,69,70,20,74,72,1,76,6,27,67
1.0,1.0,0.0,1,False,0,100,shap,2.7951011657714844,70,75,73,72,74,69,76,49,67,41,20
1.0,0.9999994,5.9604645e-07,1,False,1,100,shap,0.19154071807861328,70,75,73,72,74,69,76,49,67,41,20
1.0,0.9999968,3.2186508e-06,1,False,2,100,shap,0.18546485900878906,70,75,73,72,74,69,76,49,67,41,20
1.0,0.99968934,0.0003106594,1,False,3,100,shap,0.2020728588104248,70,75,73,72,74,69,76,49,67,41,20
1.0,0.9875052,0.0124948025,1,False,4,100,shap,0.19924545288085938,70,75,73,72,74,69,76,49,67,41,20
1.0,0.8908909,0.1091091,1,False,5,100,shap,0.18874502182006836,70,75,73,72,74,69,76,49,67,41,20
1.0,0.8536119,0.14638811,1,False,6,100,shap,0.17694997787475586,70,75,73,72,74,69,76,49,67,41,20
1.0,0.4899103,0.5100897,1,True,7,100,shap,0.17880940437316895,70,75,73,72,74,69,76,49,67,41,20
1.0,0.490302,0.50969803,1,True,8,100,shap,0.17958784103393555,70,75,73,72,74,69,76,49,67,41,20
1.0,0.48925352,0.5107465,1,True,9,100,shap,0.18054914474487305,70,75,73,72,74,69,76,49,67,41,20
1.0,0.47938415,0.5206158,1,True,10,100,shap,0.16905760765075684,70,75,73,72,74,69,76,49,67,41,20
1.0,1.0,0.0,1,False,0,100,shap,6.02887749671936,73,70,74,69,72,75,1,56,21,58,30
1.0,0.9999976,2.3841858e-06,1,False,1,100,shap,0.364898681640625,73,70,74,69,72,75,1,56,21,58,30
1.0,0.999881,0.00011897087,1,False,2,100,shap,0.27725958824157715,73,70,74,69,72,75,1,56,21,58,30
1.0,0.99394035,0.0060596466,1,False,3,100,shap,0.21859955787658691,73,70,74,69,72,75,1,56,21,58,30
1.0,0.97280777,0.027192235,1,False,4,100,shap,0.19980430603027344,73,70,74,69,72,75,1,56,21,58,30
1.0,0.8561957,0.14380431,1,False,5,100,shap,0.18732285499572754,73,70,74,69,72,75,1,56,21,58,30
1.0,0.5967077,0.4032923,1,False,6,100,shap,0.18814492225646973,73,70,74,69,72,75,1,56,21,58,30
1.0,0.60236394,0.39763606,1,False,7,100,shap,0.26130175590515137,73,70,74,69,72,75,1,56,21,58,30
1.0,0.60202044,0.39797956,1,False,8,100,shap,0.22443389892578125,73,70,74,69,72,75,1,56,21,58,30
1.0,0.6477379,0.35226208,1,False,9,100,shap,0.19723105430603027,73,70,74,69,72,75,1,56,21,58,30
1.0,0.8181495,0.1818505,1,False,10,100,shap,0.19355273246765137,73,70,74,69,72,75,1,56,21,58,30
1.2252627e-23,1.2252627e-23,0.0,0,False,0,100,shap,3.073385000228882,69,37,18,22,50,19,71,66,34,64,43
1.2252627e-23,0.9999939,0.9999939,0,True,1,100,shap,0.24235105514526367,69,37,18,22,50,19,71,66,34,64,43
1.2252627e-23,0.99999464,0.99999464,0,True,2,100,shap,0.203413724899292,69,37,18,22,50,19,71,66,34,64,43
1.2252627e-23,0.99999595,0.99999595,0,True,3,100,shap,0.20345687866210938,69,37,18,22,50,19,71,66,34,64,43
1.2252627e-23,0.99999714,0.99999714,0,True,4,100,shap,0.220550537109375,69,37,18,22,50,19,71,66,34,64,43
1.2252627e-23,0.99999714,0.99999714,0,True,5,100,shap,0.22839093208312988,69,37,18,22,50,19,71,66,34,64,43
1.2252627e-23,0.99999833,0.99999833,0,True,6,100,shap,0.3824145793914795,69,37,18,22,50,19,71,66,34,64,43
1.2252627e-23,0.9999999,0.9999999,0,True,7,100,shap,0.18961858749389648,69,37,18,22,50,19,71,66,34,64,43
1.2252627e-23,0.9999999,0.9999999,0,True,8,100,shap,0.19875001907348633,69,37,18,22,50,19,71,66,34,64,43
1.2252627e-23,0.9999999,0.9999999,0,True,9,100,shap,0.18180084228515625,69,37,18,22,50,19,71,66,34,64,43
1.2252627e-23,0.9999999,0.9999999,0,True,10,100,shap,0.17857027053833008,69,37,18,22,50,19,71,66,34,64,43
0.8669525,0.8669525,0.0,1,False,0,100,shap,4.4205403327941895,50,75,9,69,70,59,41,3,12,39,15
0.8669525,0.8670055,-5.3048134e-05,1,False,1,100,shap,0.21437311172485352,50,75,9,69,70,59,41,3,12,39,15
0.8669525,0.8214129,0.045539558,1,False,2,100,shap,0.19199514389038086,50,75,9,69,70,59,41,3,12,39,15
0.8669525,0.78315216,0.083800316,1,False,3,100,shap,0.18291163444519043,50,75,9,69,70,59,41,3,12,39,15
0.8669525,0.7485263,0.118426204,1,False,4,100,shap,0.18469810485839844,50,75,9,69,70,59,41,3,12,39,15
0.8669525,0.74179006,0.12516242,1,False,5,100,shap,0.1896038055419922,50,75,9,69,70,59,41,3,12,39,15
0.8669525,0.7416667,0.1252858,1,False,6,100,shap,0.17921733856201172,50,75,9,69,70,59,41,3,12,39,15
0.8669525,0.7408672,0.12608528,1,False,7,100,shap,0.17314791679382324,50,75,9,69,70,59,41,3,12,39,15
0.8669525,0.7025444,0.16440809,1,False,8,100,shap,0.168060302734375,50,75,9,69,70,59,41,3,12,39,15
0.8669525,0.70493346,0.16201901,1,False,9,100,shap,0.17241644859313965,50,75,9,69,70,59,41,3,12,39,15
0.8669525,0.7025663,0.16438615,1,False,10,100,shap,0.16415119171142578,50,75,9,69,70,59,41,3,12,39,15
0.9188098,0.9188098,0.0,1,False,0,100,shap,4.259469270706177,16,60,6,70,73,76,58,31,1,74,48
0.9188098,0.9216944,-0.0028846264,1,False,1,100,shap,0.2211134433746338,16,60,6,70,73,76,58,31,1,74,48
0.9188098,0.92042834,-0.0016185641,1,False,2,100,shap,0.20553302764892578,16,60,6,70,73,76,58,31,1,74,48
0.9188098,0.902163,0.016646743,1,False,3,100,shap,0.20242667198181152,16,60,6,70,73,76,58,31,1,74,48
0.9188098,0.8749368,0.043872952,1,False,4,100,shap,0.18586015701293945,16,60,6,70,73,76,58,31,1,74,48
0.9188098,0.8473096,0.07150018,1,False,5,100,shap,0.1829211711883545,16,60,6,70,73,76,58,31,1,74,48
0.9188098,0.8056192,0.11319059,1,False,6,100,shap,0.1702134609222412,16,60,6,70,73,76,58,31,1,74,48
0.9188098,0.8037494,0.11506039,1,False,7,100,shap,0.17847967147827148,16,60,6,70,73,76,58,31,1,74,48
0.9188098,0.7950372,0.12377256,1,False,8,100,shap,0.17257905006408691,16,60,6,70,73,76,58,31,1,74,48
0.9188098,0.77174777,0.147062,1,False,9,100,shap,0.17343997955322266,16,60,6,70,73,76,58,31,1,74,48
0.9188098,0.74369454,0.17511523,1,False,10,100,shap,0.17077326774597168,16,60,6,70,73,76,58,31,1,74,48
0.63316596,0.63316596,0.0,1,False,0,100,shap,2.641949415206909,70,75,13,42,67,40,23,76,24,53,44
