original_probability,new_probability,confidence_diff,original_class,class_change,no_features,nsamples,explainer,time,important_columns,i1,i2,i3,i4,i5,i6,i7,i8,i9,i10
0.90471834,0.854667,0.05005133,1,False,10,100,shap,0.17493224143981934,10,9,17,0,21,67,33,14,43,24,28
0.85683084,0.85683084,0.0,1,False,0,100,shap,2.572089195251465,6,32,28,55,31,47,8,16,24,42,11
0.85683084,0.8326043,0.024226546,1,False,1,100,shap,0.19430208206176758,6,32,28,55,31,47,8,16,24,42,11
0.85683084,0.82472605,0.03210479,1,False,2,100,shap,0.19124102592468262,6,32,28,55,31,47,8,16,24,42,11
0.85683084,0.81667316,0.040157676,1,False,3,100,shap,0.18532323837280273,6,32,28,55,31,47,8,16,24,42,11
0.85683084,0.8104714,0.04635942,1,False,4,100,shap,0.170973539352417,6,32,28,55,31,47,8,16,24,42,11
0.85683084,0.80150014,0.055330694,1,False,5,100,shap,0.18027710914611816,6,32,28,55,31,47,8,16,24,42,11
0.85683084,0.780989,0.075841844,1,False,6,100,shap,0.17455625534057617,6,32,28,55,31,47,8,16,24,42,11
0.85683084,0.7868,0.07003081,1,False,7,100,shap,0.17955327033996582,6,32,28,55,31,47,8,16,24,42,11
0.85683084,0.79298353,0.0638473,1,False,8,100,shap,0.1730632781982422,6,32,28,55,31,47,8,16,24,42,11
0.85683084,0.7861203,0.07071054,1,False,9,100,shap,0.17364120483398438,6,32,28,55,31,47,8,16,24,42,11
0.85683084,0.78479075,0.07204008,1,False,10,100,shap,0.1674482822418213,6,32,28,55,31,47,8,16,24,42,11
0.7234509,0.7234509,0.0,1,False,0,100,shap,2.4186971187591553,67,29,14,3,9,52,28,30,39,34,60
0.7234509,0.70280004,0.020650864,1,False,1,100,shap,0.19473624229431152,67,29,14,3,9,52,28,30,39,34,60
0.7234509,0.6935304,0.029920518,1,False,2,100,shap,0.1853163242340088,67,29,14,3,9,52,28,30,39,34,60
0.7234509,0.70096916,0.02248174,1,False,3,100,shap,0.1799023151397705,67,29,14,3,9,52,28,30,39,34,60
0.7234509,0.6897694,0.033681512,1,False,4,100,shap,0.17571616172790527,67,29,14,3,9,52,28,30,39,34,60
0.7234509,0.6787156,0.044735312,1,False,5,100,shap,0.17796564102172852,67,29,14,3,9,52,28,30,39,34,60
0.7234509,0.6602636,0.0631873,1,False,6,100,shap,0.1734156608581543,67,29,14,3,9,52,28,30,39,34,60
0.7234509,0.6529061,0.07054478,1,False,7,100,shap,0.3071479797363281,67,29,14,3,9,52,28,30,39,34,60
0.7234509,0.6459685,0.0774824,1,False,8,100,shap,0.16652798652648926,67,29,14,3,9,52,28,30,39,34,60
0.7234509,0.64329123,0.080159664,1,False,9,100,shap,0.1640012264251709,67,29,14,3,9,52,28,30,39,34,60
0.7234509,0.6361842,0.08726668,1,False,10,100,shap,0.16799402236938477,67,29,14,3,9,52,28,30,39,34,60
0.79750353,0.79750353,0.0,1,False,0,100,shap,2.567140817642212,53,1,2,0,27,37,6,17,25,24,3
0.79750353,0.7367391,0.060764432,1,False,1,100,shap,0.19448256492614746,53,1,2,0,27,37,6,17,25,24,3
0.79750353,0.70910305,0.08840048,1,False,2,100,shap,0.17882251739501953,53,1,2,0,27,37,6,17,25,24,3
0.79750353,0.6660542,0.13144934,1,False,3,100,shap,0.19015836715698242,53,1,2,0,27,37,6,17,25,24,3
0.79750353,0.6507762,0.14672732,1,False,4,100,shap,0.17752504348754883,53,1,2,0,27,37,6,17,25,24,3
0.79750353,0.6470596,0.15044391,1,False,5,100,shap,0.17766499519348145,53,1,2,0,27,37,6,17,25,24,3
0.79750353,0.6438312,0.15367234,1,False,6,100,shap,0.1722266674041748,53,1,2,0,27,37,6,17,25,24,3
0.79750353,0.6347633,0.16274023,1,False,7,100,shap,0.17853569984436035,53,1,2,0,27,37,6,17,25,24,3
0.79750353,0.63634384,0.1611597,1,False,8,100,shap,0.1777803897857666,53,1,2,0,27,37,6,17,25,24,3
0.79750353,0.62997836,0.16752517,1,False,9,100,shap,0.1795189380645752,53,1,2,0,27,37,6,17,25,24,3
0.79750353,0.62555355,0.17194998,1,False,10,100,shap,0.17412066459655762,53,1,2,0,27,37,6,17,25,24,3
0.85704446,0.85704446,0.0,1,False,0,100,shap,2.6058473587036133,9,1,53,17,34,0,10,48,27,47,42
0.85704446,0.8337426,0.02330184,1,False,1,100,shap,0.21786093711853027,9,1,53,17,34,0,10,48,27,47,42
0.85704446,0.817888,0.039156437,1,False,2,100,shap,0.19185471534729004,9,1,53,17,34,0,10,48,27,47,42
0.85704446,0.78471494,0.07232952,1,False,3,100,shap,0.17575740814208984,9,1,53,17,34,0,10,48,27,47,42
0.85704446,0.754097,0.10294747,1,False,4,100,shap,0.17834186553955078,9,1,53,17,34,0,10,48,27,47,42
0.85704446,0.74502754,0.11201692,1,False,5,100,shap,0.17742276191711426,9,1,53,17,34,0,10,48,27,47,42
0.85704446,0.75689876,0.1001457,1,False,6,100,shap,0.18158745765686035,9,1,53,17,34,0,10,48,27,47,42
0.85704446,0.7487506,0.10829383,1,False,7,100,shap,0.18070054054260254,9,1,53,17,34,0,10,48,27,47,42
0.85704446,0.75237715,0.104667306,1,False,8,100,shap,0.17291474342346191,9,1,53,17,34,0,10,48,27,47,42
0.85704446,0.7451311,0.11191338,1,False,9,100,shap,0.1757035255432129,9,1,53,17,34,0,10,48,27,47,42
0.85704446,0.7322363,0.12480813,1,False,10,100,shap,0.17545604705810547,9,1,53,17,34,0,10,48,27,47,42
0.9159139,0.9159139,0.0,1,False,0,100,shap,2.551356077194214,6,16,1,30,33,3,63,34,47,23,36
0.9159139,0.89487714,0.021036744,1,False,1,100,shap,0.19448089599609375,6,16,1,30,33,3,63,34,47,23,36
0.9159139,0.9244711,-0.0085572,1,False,2,100,shap,0.18511414527893066,6,16,1,30,33,3,63,34,47,23,36
0.9159139,0.9269461,-0.011032224,1,False,3,100,shap,0.1769876480102539,6,16,1,30,33,3,63,34,47,23,36
0.9159139,0.91936904,-0.003455162,1,False,4,100,shap,0.1785745620727539,6,16,1,30,33,3,63,34,47,23,36
0.9159139,0.91282797,0.0030859113,1,False,5,100,shap,0.3049046993255615,6,16,1,30,33,3,63,34,47,23,36
0.9159139,0.8980169,0.01789695,1,False,6,100,shap,0.1701798439025879,6,16,1,30,33,3,63,34,47,23,36
0.9159139,0.8978741,0.018039763,1,False,7,100,shap,0.1722567081451416,6,16,1,30,33,3,63,34,47,23,36
0.9159139,0.8911628,0.024751067,1,False,8,100,shap,0.17565417289733887,6,16,1,30,33,3,63,34,47,23,36
0.9159139,0.889449,0.02646488,1,False,9,100,shap,0.1706526279449463,6,16,1,30,33,3,63,34,47,23,36
0.9159139,0.87928736,0.036626518,1,False,10,100,shap,0.16517162322998047,6,16,1,30,33,3,63,34,47,23,36
0.6305715,0.6305715,0.0,1,False,0,100,shap,2.6186962127685547,53,10,57,18,28,22,63,33,38,58,42
0.6305715,0.6293462,0.0012252927,1,False,1,100,shap,0.19644975662231445,53,10,57,18,28,22,63,33,38,58,42
0.6305715,0.62580276,0.004768729,1,False,2,100,shap,0.18700075149536133,53,10,57,18,28,22,63,33,38,58,42
0.6305715,0.6247869,0.005784571,1,False,3,100,shap,0.17828369140625,53,10,57,18,28,22,63,33,38,58,42
0.6305715,0.62766945,0.002902031,1,False,4,100,shap,0.17647194862365723,53,10,57,18,28,22,63,33,38,58,42
0.6305715,0.6249546,0.0056169033,1,False,5,100,shap,0.17594242095947266,53,10,57,18,28,22,63,33,38,58,42
0.6305715,0.62799805,0.0025734305,1,False,6,100,shap,0.17815637588500977,53,10,57,18,28,22,63,33,38,58,42
0.6305715,0.62770844,0.0028630495,1,False,7,100,shap,0.18823766708374023,53,10,57,18,28,22,63,33,38,58,42
0.6305715,0.6226027,0.007968783,1,False,8,100,shap,0.1754601001739502,53,10,57,18,28,22,63,33,38,58,42
