original_probability,new_probability,confidence_diff,original_class,class_change,no_features,nsamples,explainer,time,reverse_order,i0,i1,i2,i3,i4,i5,i6,i7,i8,i9,i10
0.3671681,0.6229512,0.25578314,0,True,5,100,shap,1.4694414138793945,False,4,1,9,29,0,31,12,19,17,10,3
0.3671681,0.36868754,0.0015195012,0,False,5,100,shap,1.2626135349273682,True,4,1,9,29,0,31,12,19,17,10,3
0.3671681,0.57218844,0.20502037,0,True,6,100,shap,1.2777605056762695,False,4,1,9,29,0,31,12,19,17,10,3
0.3671681,0.3650993,-0.0020688176,0,False,6,100,shap,1.2332911491394043,True,4,1,9,29,0,31,12,19,17,10,3
0.3671681,0.61813605,0.25096798,0,True,7,100,shap,1.2830297946929932,False,4,1,9,29,0,31,12,19,17,10,3
0.3671681,0.36521336,-0.0019547343,0,False,7,100,shap,1.3281574249267578,True,4,1,9,29,0,31,12,19,17,10,3
0.3671681,0.6254023,0.2582342,0,True,8,100,shap,1.3199434280395508,False,4,1,9,29,0,31,12,19,17,10,3
0.3671681,0.365964,-0.0012040138,0,False,8,100,shap,1.2618348598480225,True,4,1,9,29,0,31,12,19,17,10,3
0.3671681,0.60632145,0.23915336,0,True,9,100,shap,1.446387529373169,False,4,1,9,29,0,31,12,19,17,10,3
0.3671681,0.38050115,0.013333082,0,False,9,100,shap,1.2866816520690918,True,4,1,9,29,0,31,12,19,17,10,3
0.3671681,0.6019179,0.23474985,0,True,10,100,shap,1.308847427368164,False,4,1,9,29,0,31,12,19,17,10,3
0.3671681,0.4019367,0.0347687,0,False,10,100,shap,1.242375373840332,True,4,1,9,29,0,31,12,19,17,10,3
0.64050525,0.64050525,0.0,1,False,0,100,shap,15.897899389266968,False,4,9,1,17,7,31,0,3,29,15,24
0.64050525,0.64050525,0.0,1,False,0,100,shap,1.4160144329071045,True,4,9,1,17,7,31,0,3,29,15,24
0.64050525,0.55954206,0.080963194,1,False,1,100,shap,2.7511818408966064,False,4,9,1,17,7,31,0,3,29,15,24
0.64050525,0.64050525,0.0,1,False,1,100,shap,1.8151443004608154,True,4,9,1,17,7,31,0,3,29,15,24
0.64050525,0.47929627,0.16120899,1,True,2,100,shap,3.0595040321350098,False,4,9,1,17,7,31,0,3,29,15,24
0.64050525,0.64050525,0.0,1,False,2,100,shap,2.1976358890533447,True,4,9,1,17,7,31,0,3,29,15,24
0.64050525,0.46235776,0.1781475,1,True,3,100,shap,1.7958095073699951,False,4,9,1,17,7,31,0,3,29,15,24
